院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
8126,厦门大学嘉庚学院,01,不限,历史,509,2025,历史
8126,厦门大学嘉庚学院,02,不限,历史,505,2025,历史
8127,福州大学至诚学院,01,不限,历史,501,2025,历史
8128,集美大学诚毅学院,01,不限,历史,504,2025,历史
8130,福州外语外贸学院,01,不限,历史,501,2025,历史
8132,仰恩大学,01,不限,历史,506,2025,历史
8170,江西科技学院,01,不限,历史,492,2025,历史
8171,江西工程学院,01,不限,历史,499,2025,历史
8172,南昌理工学院,01,不限,历史,497,2025,历史
8173,江西应用科技学院,01,不限,历史,493,2025,历史
8174,江西服装学院,01,不限,历史,485,2025,历史
8175,南昌工学院,01,不限,历史,494,2025,历史
8175,南昌工学院,02,思想政治,历史+思想政治,511,2025,历史
8176,南昌大学科学技术学院,01,不限,历史,510,2025,历史
8177,南昌大学共青学院,01,不限,历史,504,2025,历史
8178,南昌交通学院,01,不限,历史,498,2025,历史
8180,南昌航空大学科技学院,01,不限,历史,504,2025,历史
8183,江西农业大学南昌商学院,01,不限,历史,501,2025,历史
8183,江西农业大学南昌商学院,02,生物,历史+生物,492,2025,历史
8185,江西师范大学科学技术学院,01,不限,历史,500,2025,历史
8186,景德镇艺术职业大学,01,不限,历史,501,2025,历史
8188,江西财经大学现代经济管理学院,01,不限,历史,505,2025,历史
8210,齐鲁医药学院,01,不限,历史,508,2025,历史
8210,齐鲁医药学院,02,不限,历史,503,2025,历史
8210,齐鲁医药学院,03,不限,历史,506,2025,历史
8211,青岛滨海学院,01,不限,历史,495,2025,历史
8212,烟台南山学院,01,不限,历史,498,2025,历史
8213,潍坊科技学院,01,不限,历史,504,2025,历史
8214,山东英才学院,01,不限,历史,489,2025,历史
8215,青岛恒星科技学院,01,不限,历史,493,2025,历史
8216,青岛黄海学院,01,不限,历史,507,2025,历史
8217,山东现代学院,01,不限,历史,496,2025,历史
8218,山东协和学院,01,不限,历史,501,2025,历史
8219,烟台理工学院,01,不限,历史,501,2025,历史
8220,青岛城市学院,01,不限,历史,498,2025,历史
8223,泰山科技学院,01,不限,历史,511,2025,历史
8225,青岛工学院,01,不限,历史,500,2025,历史
8226,青岛农业大学海都学院,01,不限,历史,501,2025,历史
8227,齐鲁理工学院,01,不限,历史,493,2025,历史
8228,山东财经大学东方学院,01,不限,历史,503,2025,历史
8230,烟台科技学院,01,不限,历史,499,2025,历史
8231,青岛电影学院,01,不限,历史,482,2025,历史
8260,北京城市学院,01,不限,历史,491,2025,历史
8262,首都师范大学科德学院,01,不限,历史,483,2025,历史
8263,北京金融科技学院,01,不限,历史,485,2025,历史
8264,北京邮电大学世纪学院,01,不限,历史,489,2025,历史
8265,北京工业大学耿丹学院,01,不限,历史,488,2025,历史
8266,北京第二外国语学院中瑞酒店管理学院,01,不限,历史,484,2025,历史
8290,天津天狮学院,01,不限,历史,489,2025,历史
8291,天津外国语大学滨海外事学院,01,不限,历史,497,2025,历史
8292,天津传媒学院,01,不限,历史,486,2025,历史
8293,天津商业大学宝德学院,01,不限,历史,502,2025,历史
8293,天津商业大学宝德学院,02,不限,历史,495,2025,历史
8293,天津商业大学宝德学院,03,不限,历史,499,2025,历史
8294,天津医科大学临床医学院,01,不限,历史,497,2025,历史
8297,天津理工大学中环信息学院,01,不限,历史,497,2025,历史
8298,北京科技大学天津学院,01,不限,历史,502,2025,历史
8299,天津仁爱学院,01,不限,历史,490,2025,历史
8301,天津财经大学珠江学院,01,不限,历史,502,2025,历史
8313,河北科技学院,01,不限,历史,492,2025,历史
8314,河北外国语学院,01,不限,历史,492,2025,历史
8314,河北外国语学院,02,不限,历史,502,2025,历史
8316,华北理工大学轻工学院,01,不限,历史,496,2025,历史
8318,河北经贸大学经济管理学院,01,不限,历史,506,2025,历史
8323,石家庄铁道大学四方学院,01,不限,历史,521,2025,历史
8326,保定理工学院,01,不限,历史,494,2025,历史
